"LWPC","TrialType","RTestimate_energy1","RTestimate_energy2","firstRTestimate_energy1","secondRTestimate_energy1","firstRTestimate_energy2","secondRTestimate_energy2"
"PC50","InCon",1.037,1.037,1.003,0.949,1.003,0.949
"MI","InCon",0.888,0.888,0.855,0.845,0.855,0.845
"PC50","InCon",0.873,0.873,0.838,0.81,0.838,0.81
"MI","Con",0.975,0.975,0.939,0.92,0.939,0.92
"PC50","InCon",1.061,1.061,1.025,1.009,1.025,1.009
"MI","InCon",0.857,0.857,0.813,0.79,0.813,0.79
"PC50","Con",1.02,1.02,0.982,0.817,0.982,0.817
"PC50","InCon",0.951,0.951,0.902,0.877,0.902,0.877
"PC50","Con",0.959,0.959,0.925,0.911,0.925,0.911
"MI","InCon",1.407,1.407,1.372,1.351,1.372,1.351
"MI","InCon",0.955,0.955,0.922,0.909,0.922,0.909
"MI","Con",0.935,0.935,0.868,0.849,0.868,0.849
"MI","InCon",1.279,1.279,1.231,1.192,1.231,1.192
"MI","InCon",1.043,1.043,1.01,1,1.01,1
"MI","InCon",0.927,0.927,0.868,0.851,0.868,0.851
"PC50","InCon",1.023,1.023,0.989,0.97,0.989,0.97
"MI","Con",0.988,0.988,0.953,0.94,0.953,0.94
"MI","InCon",1.195,1.195,1.108,1.082,1.108,1.082
"MI","Con",0.901,0.901,0.858,0.773,0.858,0.773
"MI","InCon",0.939,0.939,0.894,0.879,0.894,0.879
"PC50","InCon",1.88,1.88,1.846,1.833,1.846,1.833
"MI","InCon",0.973,0.973,0.939,0.927,0.939,0.927
"MI","Con",1.114,1.114,1.08,1.051,1.08,1.051
"PC50","Con",0.979,0.979,0.944,0.93,0.944,0.93
"MI","InCon",1.081,1.081,1.044,1.028,1.044,1.028
"MI","InCon",1.085,1.085,1.027,1.011,1.027,1.011
"MI","InCon",0.821,0.821,0.782,0.764,0.782,0.764
"MI","InCon",1.111,1.111,1.076,1.061,1.076,1.061
"PC50","Con",0.814,0.814,0.779,0.764,0.779,0.764
"MI","InCon",0.953,0.953,0.919,0.903,0.919,0.903
"MI","Con",0.804,0.804,0.769,0.752,0.769,0.752
"MI","InCon",1.115,1.115,1.059,0.94,1.059,0.94
"PC50","Con",0.912,0.912,0.873,0.854,0.873,0.854
"PC50","Con",1.049,1.049,1.013,1.001,1.013,1.001
